DataReferencia;CodigoInstrumento;AcaoAtualizacao;PrecoNegocio;QuantidadeNegociada;HoraFechamento;CodigoIdentificadorNegocio;TipoSessaoPregao;DataNegocio;CodigoParticipanteComprador;CodigoParticipanteVendedor
2025-05-29;PETR4;0;31,480;500;100335879;10;1;2025-05-29;40;39
2025-05-29;PETR4;0;31,480;300;100335879;20;1;2025-05-29;40;107
2025-05-29;PETR4;0;31,480;100;100335879;30;1;2025-05-29;238;107
2025-05-29;PETR4;0;31,480;100;100335879;40;1;2025-05-29;238;107
2025-05-29;PETR4;0;31,480;300;100335879;50;1;2025-05-29;3;107
2025-05-29;PETR4;0;31,480;100;100335879;60;1;2025-05-29;85;39
2025-05-29;PETR4;0;31,480;100;100335879;70;1;2025-05-29;4090;39
2025-05-29;PETR4;0;31,480;100;100335879;80;1;2025-05-29;4090;39
2025-05-29;PETR4;0;31,480;200;100335879;90;1;2025-05-29;16;39
2025-05-29;PETR4;0;31,480;600;100335879;100;1;2025-05-29;16;23
2025-05-29;PETR4;0;31,480;100;100335879;110;1;2025-05-29;16;39
2025-05-29;PETR4;0;31,480;100;100335879;120;1;2025-05-29;3;93
2025-05-29;PETR4;0;31,480;3900;100335879;130;1;2025-05-29;39;93
2025-05-29;PETR4;0;31,480;200;100335879;140;1;2025-05-29;39;39
2025-05-29;PETR4;0;31,480;100;100335879;150;1;2025-05-29;39;238
2025-05-29;PETR4;0;31,480;100;100335879;160;1;2025-05-29;39;238
2025-05-29;PETR4;0;31,480;12400;100335879;170;1;2025-05-29;39;40
2025-05-29;PETR4;0;31,480;1800;100335879;180;1;2025-05-29;39;39
2025-05-29;PETR4;0;31,480;300;100335879;190;1;2025-05-29;39;39
2025-05-29;PETR4;0;31,480;500;100335879;200;1;2025-05-29;39;39
2025-05-29;PETR4;0;31,480;700;100335879;210;1;2025-05-29;39;39
2025-05-29;PETR4;0;31,480;400;100335879;220;1;2025-05-29;39;3
2025-05-29;PETR4;0;31,480;100;100335879;230;1;2025-05-29;39;120
2025-05-29;PETR4;0;31,480;200;100335879;240;1;2025-05-29;39;4090
2025-05-29;PETR4;0;31,480;8000;100335879;250;1;2025-05-29;39;4090
2025-05-29;PETR4;0;31,480;100;100335879;260;1;2025-05-29;39;3
2025-05-29;PETR4;0;31,480;1200;100335879;270;1;2025-05-29;39;85
2025-05-29;PETR4;0;31,480;1100;100335879;280;1;2025-05-29;120;85
2025-05-29;PETR4;0;31,480;400;100335879;290;1;2025-05-29;120;90
2025-05-29;PETR4;0;31,480;100;100335879;300;1;2025-05-29;120;90
2025-05-29;PETR4;0;31,480;100;100335879;310;1;2025-05-29;120;90
2025-05-29;PETR4;0;31,480;100;100335879;320;1;2025-05-29;120;90
2025-05-29;PETR4;0;31,480;100;100335879;330;1;2025-05-29;120;90
2025-05-29;PETR4;0;31,480;1100;100335879;340;1;2025-05-29;120;8
2025-05-29;PETR4;0;31,480;2400;100335879;350;1;2025-05-29;85;8
2025-05-29;PETR4;0;31,480;500;100335879;360;1;2025-05-29;3;8
